# mapping_set_id: https://w3id.org/lmodel/gist/mappings/gist-cdm
# curie_map:
#   common_domain_model: https://w3id.org/lmodel/common_domain_model/
#   gist: https://w3id.org/lmodel/gist/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_description: Manually curated SSSOM mappings between FINOS CDM classes and the Gist upper business ontology (lmodel/gist).
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/gist
# object_source: https://w3id.org/lmodel/common_domain_model
# mapping_date: 2026-06-01
subject_id	subject_label	subject_source	predicate_id	object_id	object_label	object_source	mapping_justification	comment
gist:Organization	Organization	gist	skos:closeMatch	common_domain_model:Party	Party	common_domain_model	semapv:ManualMappingCuration	CDM Party subsumes legal entities and natural persons; gist Organization is the closest formal-business concept
gist:Person	Person	gist	skos:relatedMatch	common_domain_model:Party	Party	common_domain_model	semapv:ManualMappingCuration	CDM Party also covers natural persons
gist:Organization	Organization	gist	skos:closeMatch	common_domain_model:LegalEntity	LegalEntity	common_domain_model	semapv:ManualMappingCuration	CDM LegalEntity is a formally-recognised organisation
gist:GovernmentOrganization	GovernmentOrganization	gist	skos:broadMatch	common_domain_model:LegalEntity	LegalEntity	common_domain_model	semapv:ManualMappingCuration	gist GovernmentOrganization is a narrower kind of LegalEntity
gist:Person	Person	gist	skos:closeMatch	common_domain_model:NaturalPerson	NaturalPerson	common_domain_model	semapv:ManualMappingCuration	Both represent a human individual
gist:Account	Account	gist	skos:closeMatch	common_domain_model:Account	Account	common_domain_model	semapv:ManualMappingCuration	Both model a financial or custodial account
gist:Address	Address	gist	skos:closeMatch	common_domain_model:Address	Address	common_domain_model	semapv:ManualMappingCuration	Both abstract over physical and electronic addresses
gist:PhysicalAddress	PhysicalAddress	gist	skos:relatedMatch	common_domain_model:Address	Address	common_domain_model	semapv:ManualMappingCuration	CDM Address can carry physical-address fields
gist:ElectronicAddress	ElectronicAddress	gist	skos:closeMatch	common_domain_model:ContactInformation	ContactInformation	common_domain_model	semapv:ManualMappingCuration	CDM ContactInformation holds email/phone/electronic endpoints
gist:Organization	Organization	gist	skos:closeMatch	common_domain_model:BusinessUnit	BusinessUnit	common_domain_model	semapv:ManualMappingCuration	A business unit is an organisational subdivision
gist:ID	ID	gist	skos:closeMatch	common_domain_model:Identifier	Identifier	common_domain_model	semapv:ManualMappingCuration	gist ID represents an externally-issued identifier
gist:ID	ID	gist	skos:closeMatch	common_domain_model:PartyIdentifier	PartyIdentifier	common_domain_model	semapv:ManualMappingCuration	Identifier issued for a party
gist:ID	ID	gist	skos:closeMatch	common_domain_model:PersonIdentifier	PersonIdentifier	common_domain_model	semapv:ManualMappingCuration	Identifier issued for a natural person
gist:ID	ID	gist	skos:closeMatch	common_domain_model:EntityIdentifier	EntityIdentifier	common_domain_model	semapv:ManualMappingCuration	Identifier issued for a legal entity (e.g. LEI)
gist:ID	ID	gist	skos:closeMatch	common_domain_model:AssignedIdentifier	AssignedIdentifier	common_domain_model	semapv:ManualMappingCuration	Versioned identifier assignment
gist:Magnitude	Magnitude	gist	skos:closeMatch	common_domain_model:Money	Money	common_domain_model	semapv:ManualMappingCuration	gist Magnitude (value + unit) covers monetary amounts when unit is a currency
