# mapping_set_id: https://w3id.org/lmodel/gist/mappings/gist-dpvs
# mapping_set_description: DPVs <-> gist (Semantic Arts upper ontology) term alignments. Hand-curated against the lmodel gist LinkML schema (https://w3id.org/lmodel/gist/). Provides upper-ontology grounding for DPVS entities, agreements, contracts, intellectual property, and addresses.
# mapping_set_version: 1.0
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/gist
# object_source: https://w3id.org/lmodel/dpvs
# mapping_date: 2026-06-01
# curie_map:
#   dpvs: https://w3id.org/lmodel/dpvs/
#   gist: https://w3id.org/lmodel/gist/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/

subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_source
gist:Agreement	Agreement	skos:broadMatch	dpvs:DataProcessingAgreement	Data Processing Agreement	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Person	Person	skos:broadMatch	dpvs:DataSubject	Data Subject	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Contract	Contract	skos:exactMatch	dpvs:DpvContract	Contract	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:IntellectualProperty	Intellectual Property	skos:broadMatch	dpvs:IntellectualPropertyData	Intellectual Property Data	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Organization	Organization	skos:closeMatch	dpvs:LegalEntity	Legal Entity	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Person	Person	skos:exactMatch	dpvs:NaturalPerson	Natural Person	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:ContingentObligation	Contingent Obligation	skos:closeMatch	dpvs:Obligation	Obligation	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Organization	Organization	skos:broadMatch	dpvs:OrganisationalUnit	Organisational Unit	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Permission	Permission	skos:exactMatch	dpvs:Permission	Permission	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:GeoRegion	GeoRegion	skos:broadMatch	dpvs:PersonalSpace	Personal Space	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:GeoLocation	GeoLocation	skos:closeMatch	dpvs:StorageLocation	Storage Location	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
gist:Organization	Organization	skos:broadMatch	dpvs:ThirdParty	Third Party	semapv:LLMBasedMatching	gist (Semantic Arts upper ontology)
